0,price,discount,promotion_intensity,footfall,ad_spend,competitor_price,stock_level,weather_index,customer_sentiment,return_rate,0
0,45.19745402,5.514259405,4.062653131,277.0174844,2559.07387,44.25541114,1176.981397,7.442193544,1.021762328,0.06738825,0
1,49.32751186,6.572035417,4.96465686,250.7607143,2536.417155,50.33170381,1219.359497,6.75950973,0.975141901,0.082719131,0
2,47.328457,6.972712667,4.36319077,263.1304779,2552.952356,49.28599559,1263.822738,5.941689379,0.871567323,0.061600303,0
3,50.96453756,4.80823385,3.577988062,297.6039178,2605.398826,46.83993602,1182.435378,8.517014302,1.071300424,0.052215286,0
4,44.5302133,8.180215892,4.966637768,208.9316911,2432.485683,45.33650022,1178.513263,8.42247322,1.068515242,0.057974874,0
5,40.44806835,9.704521623,5.750567124,231.6288505,2455.769708,39.60427368,1171.140072,7.58472993,1.010520162,0.062011765,0
6,48.73399557,6.342139443,3.823452638,282.0395757,2631.398034,45.48949902,1221.816994,7.388817159,0.96709569,0.065644497,0
7,33.27590767,7.597020268,4.501063167,270.4635118,2633.893661,30.59976931,1279.252917,7.646477045,1.036079482,0.072459831,0
8,46.75149918,7.862711935,5.395278237,255.9650388,2566.192073,47.9156202,1229.079657,7.639482113,1.012237523,0.058930492,0
9,36.88567979,9.702385445,5.987838607,221.3466018,2515.390855,32.4567346,1207.274044,7.068327398,1.057447377,0.072373264,0
10,51.88387311,4.768769919,3.836931465,222.1613925,2432.458104,49.88154335,1193.17432,7.398155161,0.878830897,0.050272368,0
11,65.6142462,0.30850263,0.788050558,204.5683871,2461.166566,64.77837216,1204.234386,7.456299812,0.810027771,0.049132425,0
12,58.88421614,7.190762445,4.956231284,264.0438776,2477.620636,60.79367171,1220.307717,6.379850429,1.055770942,0.071667699,0
13,72.37001415,4.373829285,2.926701064,146.2316684,2382.238892,71.52701226,1163.791827,8.09867913,1.04269416,0.035714318,0
